"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:53:35,FALSE,NA,"921796621574139904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cervino_academy",303,TRUE,FALSE,NA,NA
"RT @B52Malmet: Barack Obama reportedly said no 3 times to the Niger operation that ended the lives of 4 US soldiers.Not enuf intel.Too dang",FALSE,0,NA,2017-10-21 17:53:32,FALSE,NA,"921796610023149568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaleesb",691,TRUE,FALSE,NA,NA
"RT @jptrib1: Sorry GOP, but the Republican Agenda of Hate Is Losing Ground: Barack Obama Was Named the Most Admired Man in the World",FALSE,0,NA,2017-10-21 17:53:31,FALSE,NA,"921796604700524545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gaylerosenthal",22,TRUE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:53:30,FALSE,NA,"921796601265446912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnitaNelson",1549,TRUE,FALSE,NA,NA
"Obama tells Trump to 'stop whining'

President Barack Obama addressed Donald Trump's  frenzied talk  of a rigge https://t.co/AYXfklEXnU",FALSE,0,NA,2017-10-21 17:53:30,TRUE,NA,"921796599302340608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","93_adrine",0,FALSE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:53:28,FALSE,NA,"921796591304040448",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mikestockmusic",3965,TRUE,FALSE,NA,NA
"RT @PKFLRDA: Barack Obama implies Trump has set US back 50 years in first political speech for a year https://t.co/K2JAojN9rZ via @yahoo-@r",FALSE,0,NA,2017-10-21 17:53:27,FALSE,NA,"921796586979590145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LisaMitschke",5,TRUE,FALSE,NA,NA
"Mississippi School To Swap Confederate Leader's Name For Barack Obama's https://t.co/vYjR3QveWI",FALSE,0,NA,2017-10-21 17:53:26,FALSE,NA,"921796585763336192",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","NolaTheNurse",0,FALSE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:53:23,FALSE,NA,"921796573025075200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","singh_nevin",303,TRUE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:53:21,FALSE,NA,"921796562078060544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tanker_wfe4life",1549,TRUE,FALSE,NA,NA
