"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ddale8: Toronto Star investigation: Every investor lost money on Toronto's failed Trump Tower, except for Donald Trump. https://t.co/9J",FALSE,0,NA,2017-10-21 17:53:03,FALSE,NA,"921796486110859265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Riogringa",1233,TRUE,FALSE,NA,NA
"RT @JohnJHarwood: Here are the four-star generals Donald Trump has publicly bashed https://t.co/AGVkoRg4X0",FALSE,0,NA,2017-10-21 17:53:02,FALSE,NA,"921796484919472128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TruePatriot4US",935,TRUE,FALSE,NA,NA
"RT @itsOddFuture: never forget when Tyler, The Creator photobombed Donald Trump https://t.co/TTYvpF85js",FALSE,0,NA,2017-10-21 17:53:02,FALSE,NA,"921796481643933697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lizismaname",2044,TRUE,FALSE,NA,NA
"RT @Rappers: Eminem being honored by Obama for his rap battle win against Donald Trump (2017 colorized) https://t.co/cQ1tjnAGze",FALSE,0,NA,2017-10-21 17:53:01,FALSE,NA,"921796481140523009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamuelAlfaro_77",4008,TRUE,FALSE,NA,NA
"RT @THR: Maher also jokingly announced that Trump had ""dropped to No. 2 on Forbes' list of disgusting sex predators."" https://t.co/S22sDtNk",FALSE,0,NA,2017-10-21 17:53:01,FALSE,NA,"921796480985456641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loonylaura",26,TRUE,FALSE,NA,NA
"RT @sahilkapur: This is an exchange between Donald Trump and Maria Bartiromo on tax cuts for upper earners. https://t.co/qJDC1a4jz3",FALSE,0,NA,2017-10-21 17:52:59,FALSE,NA,"921796471808319489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Whirledpeas4u4m",2824,TRUE,FALSE,NA,NA
"RT @ShaunKing: My Latest.

The blatant lies of General Kelly and Donald Trump and the problem of not believing Black women. 

https://t.co/",FALSE,0,NA,2017-10-21 17:52:59,FALSE,NA,"921796470214361089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beauty4collectv",1259,TRUE,FALSE,NA,NA
"RT @rpwestcott: Lyndon Johnson's letter to the Trump family upon hearing of Donald's bone spurs. https://t.co/z7AMuZx6wM",FALSE,0,NA,2017-10-21 17:52:59,FALSE,NA,"921796469107159042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SunjazzD",235,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: THREAD: Every investor lost money on #Toronto Trump Tower. Everyone except Trump, who walked away w/MILLIONS 1/

https",FALSE,0,NA,2017-10-21 17:52:58,FALSE,NA,"921796466854760448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BerthaAMason",532,TRUE,FALSE,NA,NA
"RT @JohnJHarwood: Here are the four-star generals Donald Trump has publicly bashed https://t.co/AGVkoRg4X0",FALSE,0,NA,2017-10-21 17:52:57,FALSE,NA,"921796464287793152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","instinctnaturel",935,TRUE,FALSE,NA,NA
