"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GreatestQuotes: ""Kind words can be short and easy to speak, but their echoes are truly endless."" - Mother Teresa",FALSE,0,NA,2017-10-21 17:52:15,FALSE,NA,"921796288240410624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxteemy",630,TRUE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:52:04,FALSE,NA,"921796241486426112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikel_ann",21,TRUE,FALSE,NA,NA
"If you are humble nothing will touch you, neither praise nor disgrace, because you know what you are. (Mother Teresa) #quote",FALSE,0,NA,2017-10-21 17:52:00,FALSE,NA,"921796222645440512",NA,"<a href=""http://makebot.sh"" rel=""nofollow"">Change Journey</a>","ChangeJourney",0,FALSE,FALSE,NA,NA
"RT @QuietWords_17: 
Be happy in the moment.
Thats enough.
Each moment is all we need.
Not more.

- mother teresa https://t.co/ha3JDDZNBm",FALSE,0,NA,2017-10-21 17:51:43,FALSE,NA,"921796153334693888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sofattah",188,TRUE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:51:40,FALSE,NA,"921796138294005761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeckerLindsey",21,TRUE,FALSE,NA,NA
"RT @QuietWords_17: 
Be happy in the moment.
Thats enough.
Each moment is all we need.
Not more.

- mother teresa https://t.co/ha3JDDZNBm",FALSE,0,NA,2017-10-21 17:50:53,FALSE,NA,"921795944118738944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rive_anita",188,TRUE,FALSE,NA,NA
"RT @QuietWords_17: 
Be happy in the moment.
Thats enough.
Each moment is all we need.
Not more.

- mother teresa https://t.co/ha3JDDZNBm",FALSE,0,NA,2017-10-21 17:49:51,FALSE,NA,"921795682536697856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","w_an361",188,TRUE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:49:45,FALSE,NA,"921795657110839297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lee17318327",21,TRUE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:49:28,FALSE,NA,"921795587170848768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WangtasticBaby",21,TRUE,FALSE,NA,NA
"Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:49:12,FALSE,NA,"921795519583801346",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Amelia_isthenam",0,FALSE,FALSE,NA,NA
"""Peace begins with a smile"" -Mother Teresa #quote",FALSE,0,NA,2017-10-21 17:49:07,FALSE,NA,"921795498666754049",NA,"<a href=""https://around.io"" rel=""nofollow"">Around.io</a>","amalHantash",0,FALSE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:48:53,FALSE,NA,"921795440928088064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RiaKatanga",21,TRUE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:48:42,FALSE,NA,"921795392013873152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sarahpupalan",21,TRUE,FALSE,NA,NA
"@meganlismag @orliem00 @Osbers @DavQuinn The composer. What are you talking about??? What did Mother Teresa build?",FALSE,0,"meganlismag",2017-10-21 17:48:12,FALSE,"921794206145884160","921795266478473216","1486124137","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","facelessmedia",0,FALSE,FALSE,NA,NA
"RT @FamousWomen: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-21 17:47:07,FALSE,NA,"921794992753930240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjeelovespree",21,TRUE,FALSE,NA,NA
"RT @QuietWords_17: 
Be happy in the moment.
Thats enough.
Each moment is all we need.
Not more.

- mother teresa https://t.co/ha3JDDZNBm",FALSE,0,NA,2017-10-21 17:47:05,FALSE,NA,"921794985493696514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JannaKaraibida",188,TRUE,FALSE,NA,NA
